add_time,prod_color,prod_id,prod_name,prod_topic,prod_url,rate,rate_score,sale_num
2019-11-07,48V24AH锂电/极光炫白【星耀版】,50476918802,新日（Sunra）电动车成人新款电动摩托车 48V锂电智能运动款时尚炫酷踏板车 K3 48V24AH锂电/极光炫白【星耀版】,新日,https://item.jd.com/50476918802.html,车不错，除了电量显示有问题，充电要六七小时。,5,19
2019-11-07,48V24AH锂电/极光炫白【星耀版】,50476918802,新日（Sunra）电动车成人新款电动摩托车 48V锂电智能运动款时尚炫酷踏板车 K3 48V24AH锂电/极光炫白【星耀版】,新日,https://item.jd.com/50476918802.html,此用户未填写评价内容,5,19
2019-11-07,48V24AH锂电/极光炫白【星耀版】,50476918802,新日（Sunra）电动车成人新款电动摩托车 48V锂电智能运动款时尚炫酷踏板车 K3 48V24AH锂电/极光炫白【星耀版】,新日,https://item.jd.com/50476918802.html,车很不错，外观和店家说的很符合，看着很漂亮。，店家服务也很好，就是有不理想的是电池不能提取，影响我使用了，当然这不能说是店家的错，是我没问明白。物流服务有点不理想，速度很快，30号下的单，1号就到了，总的就三天时间，很不错，态度可以，就是到了县城就不想给送了，让自己去提货，争取了，就给送来了，可以理解送货员辛苦，但不能不负责任，收了送货的费用，就应该送到家，希望改进，还是习惯的给五星吧。图片稍后补上，等明天使用了，再继续跟进评价。,5,19
