add_date,auction_sku,avg_rate,cms_source,rate_content,rate_date,reserve_rice,shop_list,shop_title,store_name,topic
2019-10-21,电压:60V;颜色分类:60V32A铅酸版(钢琴黑),5,天猫,车子不错，骑着也稳，可以跑45码，续航吗骑了两天一格电也没用有20公里，照这样看续航也没问题的，品牌的车子就是好，物流也好顺丰到镇上直接就可以骑回家了很好。,2019-09-16 11:04:50,4599.00,"['证书编号：2018011102142350', '证书状态：有效', '产品名称：电动两轮摩托车', '3C规格型号：XR1500DT-3B', '产品名称：SUNRA/新日 黑豹plus', '品牌:SUNRA/新日', '型号:黑豹plus', '产地:中国大陆', '适用性别:通用', '颜色分类:60V32A铅酸版(钢琴黑)60V32A铅酸版(极光炫银)', '电压:60V', '制动方式:前碟后鼓', '适用人群:成人', '最高时速:50km/h(不含）-70km/h（含）', '续航里程:65km及以上', '尺寸:1800x710x1090mm', '整备质量:108kg', '最大功率:1.5KW']",新日国标电动车男女成人高速大功率电瓶车踏板电动摩托车黑豹plus,新日到位购专卖店,新日
2019-10-21,电压:60V;颜色分类:60V32A铅酸版(极光炫银),5,天猫,车子外观很帅气，价格也适中，卖家服务态度很好，随叫随到，有什么问题都会给我耐心解决，正在使用当中，就看续航怎么样了，跑了10来公里了，没掉一格电。,2019-09-15 13:19:02,4599.00,"['证书编号：2018011102142350', '证书状态：有效', '产品名称：电动两轮摩托车', '3C规格型号：XR1500DT-3B', '产品名称：SUNRA/新日 黑豹plus', '品牌:SUNRA/新日', '型号:黑豹plus', '产地:中国大陆', '适用性别:通用', '颜色分类:60V32A铅酸版(钢琴黑)60V32A铅酸版(极光炫银)', '电压:60V', '制动方式:前碟后鼓', '适用人群:成人', '最高时速:50km/h(不含）-70km/h（含）', '续航里程:65km及以上', '尺寸:1800x710x1090mm', '整备质量:108kg', '最大功率:1.5KW']",新日国标电动车男女成人高速大功率电瓶车踏板电动摩托车黑豹plus,新日到位购专卖店,新日
2019-10-21,电压:60V;颜色分类:60V32A铅酸版(极光炫银),5,天猫,车很好，会介绍朋友来买的,2019-08-01 10:53:50,4599.00,"['证书编号：2018011102142350', '证书状态：有效', '产品名称：电动两轮摩托车', '3C规格型号：XR1500DT-3B', '产品名称：SUNRA/新日 黑豹plus', '品牌:SUNRA/新日', '型号:黑豹plus', '产地:中国大陆', '适用性别:通用', '颜色分类:60V32A铅酸版(钢琴黑)60V32A铅酸版(极光炫银)', '电压:60V', '制动方式:前碟后鼓', '适用人群:成人', '最高时速:50km/h(不含）-70km/h（含）', '续航里程:65km及以上', '尺寸:1800x710x1090mm', '整备质量:108kg', '最大功率:1.5KW']",新日国标电动车男女成人高速大功率电瓶车踏板电动摩托车黑豹plus,新日到位购专卖店,新日
2019-10-21,电压:60V;颜色分类:60V32A铅酸版(极光炫银),5,天猫,物流送货快 产品打包用心安全（工厂包装工人用心大赞） 到货无刮擦 牌子车肯定好啊！！,2019-10-18 22:39:27,4599.00,"['证书编号：2018011102142350', '证书状态：有效', '产品名称：电动两轮摩托车', '3C规格型号：XR1500DT-3B', '产品名称：SUNRA/新日 黑豹plus', '品牌:SUNRA/新日', '型号:黑豹plus', '产地:中国大陆', '适用性别:通用', '颜色分类:60V32A铅酸版(钢琴黑)60V32A铅酸版(极光炫银)', '电压:60V', '制动方式:前碟后鼓', '适用人群:成人', '最高时速:50km/h(不含）-70km/h（含）', '续航里程:65km及以上', '尺寸:1800x710x1090mm', '整备质量:108kg', '最大功率:1.5KW']",新日国标电动车男女成人高速大功率电瓶车踏板电动摩托车黑豹plus,新日到位购专卖店,新日
