add_date,auction_sku,avg_rate,cms_source,rate_content,rate_date,reserve_rice,shop_list,shop_title,store_name,topic
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,第一次网上买车，以为物流很麻烦，事实很方便。车很不错，主要是便宜啊！,2019-09-16 19:29:48,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,雅迪电动车质量很好，性价比高，外观设计很漂亮。卖家服务热情，售后跟踪很到位，建议大家购买,2019-09-14 18:12:26,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,车子非常漂亮   服务很好    安装师傅非常细心值得购买,2019-09-23 18:07:37,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,很愉快的一次购物，雅迪电动车质量很好，大品牌值得信赖，日日顺物流很棒，及时高效专业，给舒城建鹏网点常向阳服务兵点赞,2019-09-18 10:17:49,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,车子收到了，质量很好，性价比高，比实体店便宜，满意，卖家发货很快，家人很喜欢，满意，满意。满意,2019-09-23 17:09:02,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,电动车收到了，，很好，，快递员服务也很好，很专业，，给物流点赞,2019-09-20 15:32:50,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,到货速度很快，送货师傅态度很好，直接送货上门，车车外形很漂亮，做工很精致，骑了一圈动力很足，很轻便，价格也实惠，很方便，性价比很高，非常满意！,2019-09-17 16:18:24,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,非常满意的一次网购，送货快，服务好！按装师傅非常认真仔细！五星&hearts;&hearts;&hearts;&hearts;&hearts;,2019-09-19 12:45:56,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,到货速度很快，送货师傅态度很好，直接送货上门，车外形很漂亮，骑了一圈动力很足，性价比很高，价格也实惠，非常棒！,2019-09-23 18:57:53,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,送货及时，送货带安装，非常满意，很满意，车子质量不错，物流快,2019-09-20 20:28:26,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
