add_time,createTime,ecBizStoreId,endTime,id,orderNo,pageNum,pageSize,rightsStatusList,rightsType,updateEndTime,updateStartTime
2020-05-05,1588565008000,,,3681636889,52737160019889,,,,2,,
2020-05-05,1588564768000,,,3681670589,52737160019889,,,,2,,
2020-05-05,1588562048000,,,3681595089,52318923016589,,,,4,,
2020-05-05,1588503435000,,,3680969289,52642433014089,,,,2,,
2020-05-05,1588502115000,,,3680984389,51763239019689,,,,2,,
2020-05-05,1588501641000,,,3680964089,52317919019789,,,,2,,
2020-05-05,1588494493000,,,3680846989,51781438014089,,,,2,,
2020-05-05,1588494282000,,,3680829089,52318697018889,,,,2,,
2020-05-05,1588462966000,,,3680415389,51527808013689,,,,2,,
2020-05-05,1588412310000,,,3680026689,51776072016989,,,,2,,
2020-05-05,1588411271000,,,3680052189,52319377013489,,,,2,,
2020-05-05,1588406355000,,,3679948689,52319241016789,,,,2,,
2020-05-05,1588398719000,,,3679843789,52361274013689,,,,2,,
2020-05-05,1588385857000,,,3679538589,52318617010089,,,,2,,
2020-05-05,1588341969000,,,3679206589,52525907018089,,,,2,,
2020-05-05,1588320169000,,,3678806989,52320058011389,,,,2,,
2020-05-05,1588319941000,,,3678779789,52473160011989,,,,2,,
2020-05-05,1588301757000,,,3678480889,52328409014489,,,,2,,
2020-05-05,1588257736000,,,3678042089,52318289016389,,,,2,,
2020-05-05,1588250950000,,,3677912689,52319208015589,,,,2,,
2020-05-05,1588250837000,,,3677879889,52317316016089,,,,2,,
2020-05-05,1588247038000,,,3677826089,52315969011389,,,,2,,
2020-05-05,1588244259000,,,3677800389,52341286010989,,,,2,,
2020-05-05,1588243518000,,,3677739089,52326449011489,,,,2,,
2020-05-05,1588242348000,,,3677744089,52347088015789,,,,2,,
2020-05-05,1588239796000,,,3677685289,52318496010589,,,,2,,
2020-05-05,1588235107000,,,3677574689,52319421012889,,,,2,,
2020-05-05,1588231849000,,,3677511889,52320819012689,,,,2,,
2020-05-05,1588230894000,,,3677476789,52331439014289,,,,2,,
2020-05-05,1588230420000,,,3677449689,52318291011489,,,,2,,
2020-05-05,1588230254000,,,3677456089,52318319011989,,,,2,,
2020-05-05,1588228951000,,,3677416389,52325896017589,,,,2,,
2020-05-05,1588228891000,,,3677451389,52319830015689,,,,2,,
2020-05-05,1588228853000,,,3677451189,52318677019489,,,,2,,
2020-05-05,1588228834000,,,3677444589,52316145016189,,,,2,,
2020-05-05,1588228716000,,,3677444189,52317395016289,,,,2,,
2020-05-05,1588228714000,,,3677427989,52320278012489,,,,2,,
2020-05-05,1588228703000,,,3677415189,52316520010989,,,,2,,
2020-05-05,1588228694000,,,3677444089,52319429014389,,,,2,,
2020-05-05,1588228669000,,,3677443989,52320519010589,,,,2,,
2020-05-05,1588228646000,,,3677408789,52320044017489,,,,2,,
2020-05-05,1588228615000,,,3677399989,52318578014789,,,,2,,
2020-05-05,1588228076000,,,3677425989,52324419010989,,,,2,,
2020-05-05,1588228038000,,,3677432889,52318170014789,,,,2,,
2020-05-05,1588227320000,,,3677430389,52318665015289,,,,2,,
2020-05-05,1588227301000,,,3677430289,52320615016689,,,,2,,
2020-05-05,1588227292000,,,3677430189,52322686011089,,,,2,,
2020-05-05,1588226994000,,,3677404889,49952994019189,,,,2,,
2020-05-05,1588226965000,,,3677388689,52320613019589,,,,2,,
2020-05-05,1588226734000,,,3677369189,52318151019789,,,,2,,
2020-05-05,1588226501000,,,3677377589,52318504010089,,,,2,,
2020-05-05,1588226436000,,,3677393089,52317459012589,,,,2,,
