add_time,applyTime,weike_wid,wid
2020-04-29,1587909639000,1821541159,1875682988
2020-04-29,1587909504000,1821541159,1875685473
2020-04-29,1587909403000,1821541159,1875683634
2020-04-29,1587909078000,1821541159,1875681530
2020-04-29,1587908794000,1821541159,1875681231
2020-04-29,1587908729000,1821541159,1875682142
2020-04-29,1587908674000,1821541159,1875680217
2020-04-29,1587908654000,1821541159,1875673664
2020-04-29,1585364576000,1821541159,1821534816
2020-04-29,1584956546000,1821541159,1813455594
2020-04-29,1587973108000,1749134672,1876601651
2020-04-29,1587879515000,1749134672,1875049985
2020-04-29,1587879361000,1749134672,1875054446
2020-04-29,1587879168000,1749134672,1875050531
2020-04-29,1587865751000,1749134672,1874460134
2020-04-29,1586268612000,1749134672,1840008256
2020-04-29,1585364343000,1749134672,1821541159
2020-04-29,1586435322000,1835344656,1846046084
2020-04-29,1587917961000,1743744557,1875753021
2020-04-29,1586083128000,1742029666,1837922403
2020-04-29,1586792188000,1749731242,1742061349
2020-04-29,1586500474000,1749731242,1846657176
2020-04-29,1587912126000,1793729020,1875711247
2020-04-29,1587828505000,1793729020,1874210396
2020-04-29,1587347338000,1793729020,1738058884
2020-04-29,1587107553000,1793729020,1858516074
2020-04-29,1587042358000,1793729020,1739410200
2020-04-29,1586495944000,1793729020,1746726596
2020-04-29,1586489407000,1793729020,1846424099
2020-04-29,1586309859000,1793729020,1750558683
2020-04-29,1586266263000,1793729020,1839978888
2020-04-29,1586242722000,1793729020,1839495227
2020-04-29,1586173140000,1793729020,1748632611
2020-04-29,1586163248000,1793729020,1838607469
2020-04-29,1585980004000,1793729020,1836928642
2020-04-29,1585808122000,1793729020,1831033444
2020-04-29,1585646201000,1793729020,1826826280
2020-04-29,1585630988000,1793729020,1738539531
2020-04-29,1585630676000,1793729020,1750410493
2020-04-29,1585581058000,1793729020,1745597938
2020-04-29,1585580111000,1793729020,1750000279
2020-04-29,1584144698000,1793729020,1743723394
2020-04-29,1584003565000,1793729020,1751708060
2020-04-29,1583975229000,1744237284,1750464947
2020-04-29,1585649165000,1826864738,1826879797
2020-04-29,1586772138000,1736637098,1750458567
2020-04-29,1587179436000,1795058476,1860946212
2020-04-29,1586430565000,1751779423,1845922522
2020-04-29,1585641727000,1749702879,1826697527
2020-04-29,1583655155000,1746118368,1750002983
2020-04-29,1585830816000,1791304508,1747101159
2020-04-29,1585490001000,1791304508,1822935648
2020-04-29,1585488718000,1791304508,1822923804
2020-04-29,1583490581000,1750941107,1735660682
2020-04-29,1583239609000,1750941107,1733141265
2020-04-29,1585327158000,1736388099,1740957941
2020-04-29,1585308954000,1820835616,1820866553
2020-04-29,1586427068000,1744976011,1845793766
2020-04-29,1585317157000,1819872169,1821061340
2020-04-29,1586918931000,1742183330,1854622758
2020-04-29,1586876060000,1818921192,1853656051
2020-04-29,1586529654000,1818913762,1748179440
2020-04-29,1586512289000,1818913762,1847154100
2020-04-29,1586073641000,1818897574,1837802277
2020-04-29,1586051847000,1818865410,1837549207
2020-04-29,1586829566000,1742856317,1850731245
2020-04-29,1585270640000,1742856317,1818824719
2020-04-29,1585269982000,1742856317,1744331066
2020-04-29,1586044585000,1750759709,1739649277
2020-04-29,1584691132000,1750759709,1746452059
2020-04-29,1585267690000,1749998399,1818797866
2020-04-29,1585268040000,1737245702,1746716624
2020-04-29,1587134291000,1818718888,1860123901
2020-04-29,1585889071000,1741816038,1833717586
2020-04-29,1585249062000,1748955761,1818623661
2020-04-29,1585228274000,1747699606,1818341439
2020-04-29,1586678158000,1747086314,1848841420
2020-04-29,1586653747000,1747086314,1848486691
2020-04-29,1585277294000,1747086314,1818910293
2020-04-29,1584064731000,1747086314,1749160114
2020-04-29,1586343245000,1747115206,1842698943
2020-04-29,1585232676000,1747115206,1745842097
2020-04-29,1585230408000,1743659364,1818437566
2020-04-29,1583762590000,1742527868,1758283561
2020-04-29,1583980697000,1745252312,1739886318
2020-04-29,1585234902000,1738777247,1737730460
2020-04-29,1583814980000,1739672118,1737565239
2020-04-29,1587005926000,1747274442,1856368595
2020-04-29,1587004132000,1747274442,1856274765
2020-04-29,1586941845000,1747274442,1855165199
2020-04-29,1586922732000,1747274442,1854787938
2020-04-29,1586917428000,1747274442,1854594953
2020-04-29,1586910022000,1747274442,1854483031
2020-04-29,1586909232000,1747274442,1854463911
2020-04-29,1586877553000,1747274442,1853730385
2020-04-29,1586876820000,1747274442,1853688889
2020-04-29,1586873792000,1747274442,1853531080
2020-04-29,1586865770000,1747274442,1853053223
2020-04-29,1586864678000,1747274442,1852987069
2020-04-29,1586849895000,1747274442,1745230379
2020-04-29,1586309363000,1747274442,1840123083
2020-04-29,1586227395000,1747274442,1839172390
2020-04-29,1585404248000,1747274442,1822234032
2020-04-29,1585230906000,1818389208,1818448259
2020-04-29,1585229765000,1818389208,1818429211
2020-04-29,1587371954000,1739307229,1863158654
2020-04-29,1587952795000,1747317150,1875928737
2020-04-29,1585798689000,1747317150,1830900235
2020-04-29,1587133852000,1746712358,1860101697
2020-04-29,1586826716000,1746712358,1850683553
2020-04-29,1583660061000,1746712358,1739865625
2020-04-29,1583552217000,1746712358,1739934814
2020-04-29,1584936458000,1743466519,1749322070
2020-04-29,1585277537000,1737877875,1744888860
2020-04-29,1585267620000,1737877875,1818806047
2020-04-29,1584081028000,1737877875,1750339079
2020-04-29,1586613245000,1737509962,1848351488
2020-04-29,1585905693000,1737509962,1834899577
2020-04-29,1585293999000,1737509962,1736250446
2020-04-29,1585228559000,1737509962,1818373175
2020-04-29,1586575305000,1750145141,1847774219
2020-04-29,1585232287000,1750145141,1747986875
2020-04-29,1584064219000,1750145141,1748638887
2020-04-29,1587450183000,1739874057,1864158162
2020-04-29,1585292898000,1739874057,1820122466
2020-04-29,1585229203000,1739874057,1743042390
2020-04-29,1583283234000,1739874057,1733397308
2020-04-29,1586222426000,1746452059,1839038809
2020-04-29,1586340285000,1746138810,1842322872
2020-04-29,1587277370000,1740618998,1740924235
2020-04-29,1585147139000,1746927632,1743625613
