add_time,avaliableStockNum,defaultImageUrl,goodsId,isAllStockEmpty,isCanSell,isExistEmptyStock,isMultiSku,isPreSell,isPutAway,maxPrice,minPrice,putAwayDate,salesNum,sellModelType,sortNum,title
2020-04-28,1506,https://image-c.weimobwmc.com/saas-wxbiz/55068805e0bf4a7e8ae8670a3e71509d.jpg,1210097650189,False,True,False,1,,1,2499.0,99.0,1586423365000,0,,0,沭阳专属 豪战精致版60V20AH 任意车型以旧换新
2020-04-28,14060,https://image-c.weimobwmc.com/saas-wxbiz/aea1ca2759a04ac39e3b6007f173b441.jpg,1210104960189,False,True,False,1,,1,2399.0,99.0,1586423372000,0,,0,沭阳专属 米彩精英靠背版 60V20AH  以旧换新 （ 旧车 48V20AH电池）
2020-04-28,9000,https://image-c.weimobwmc.com/saas-wxbiz/a57ba65bf6674e359a91e1911b195fec.jpg,1209794000189,False,True,False,1,,0,2299.0,2299.0,1586163132000,0,,0,【小金鼠豪华版】闪耀来袭 敢于不凡   铅酸48V12AH
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/7e61d107095448e9b41f10229b71ce71.png,1209773670189,True,True,True,0,,1,200.0,200.0,1586422907000,0,,0,淮南秒杀预付200元抵400
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/721a46488771407796372bb458054555.jpeg,1209788520189,True,True,True,0,,1,99.0,99.0,1586422908000,0,,0,湛江直播间预付99元抵200
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/be100ab1a5f64e54af7a6c88844af56b.jpg,1209786160189,True,True,True,0,,1,5999.0,5999.0,1586422910000,0,,0,沭阳专属   G5 石墨烯版
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/ec1f2671e5b949a7b62c15282464f114.jpg,1209784030189,True,True,True,0,,1,4599.0,4599.0,1586422934000,0,,0,沭阳专属  莱客
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/dd5699e5e4e742c9969c222a82b12a0b.jpg,1209775010189,True,True,True,0,,1,4299.0,4299.0,1586422934000,0,,0,沭阳专属 T6
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/71f30a28a77c416cb8ae54b80603c27d.jpg,1209771850189,True,True,True,0,,1,3499.0,3499.0,1586422934000,0,,0,沭阳专属  E6
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/efd0eb02248a43f0a7960b10acb85b1d.jpg,1209781610189,True,True,True,1,,1,3799.0,3799.0,1586422934000,0,,0,沭阳专属 雷力
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/85428902db1b4851a3821e791f0b647b.jpg,1209774540189,True,True,True,0,,1,3699.0,3699.0,1586422934000,0,,0,沭阳专属  锐领
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/1957e410a06242478150c20915272a83.jpg,1209771300189,True,True,True,0,,1,3599.0,3599.0,1586422934000,0,,0,沭阳专属  M6
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/2d1d229a3a8446ec92337e9ce2cb3f56.jpg,1209778130189,True,True,True,0,,1,2999.0,2999.0,1586423383000,0,,0,沭阳专属   米彩三代
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/d2d89d892b7145b8942079dbd8c29e66.jpg,1209783050189,True,True,True,0,,1,2999.0,2999.0,1586423386000,0,,0,沭阳专属 米彩精英尾箱版
