add_time,area,date,name,price
2020-04-03,天津,2020-04-03,天然橡胶(全乳胶),9450
2020-04-03,中石化华东,2020-04-02,三元乙丙橡胶(4045),14000
2020-04-03,中石化华东,2020-04-03,PP粒料(K8303),7650
2020-04-03,中石化华东,2020-04-03,PP粒料(K7726),7300
2020-04-03,中石化华东,2020-04-03,PP粒料(M250E),8300
2020-04-03,中石化华东,2020-04-03,PE(7042),6000
2020-04-03,上海,2020-04-03,ABS(HI-121H),10400
2020-04-03,镇江,2020-04-03,ABS(PA-707K),11900
2020-04-03,镇江,2020-04-03,ABS(PA-757K),12100
2020-04-03,上海,2020-04-03,PC(1100),11350
2020-04-03,上海,2020-04-03,PC(2805),13650
2020-04-03,上海,2020-04-03,PMMA(CM207),13000
