add_time,area,date,name,price
2020-04-03,上海,2020-04-03,还原铅(97%),11775
2020-04-03,安徽,2020-04-03,还原铅(97%),11350
2020-04-03,华东,2020-04-03,MDI(44V20、M20S),10800
